puzzle_id	known_length	best_length	delta	records	unique_solutions	variants	source_files	fresh_run_tag	slurm_job_id	slurm_array_task_id	beam_width	k1_radius
27	23	23	0	335	149	original,reflected	solve_bucket_fresh_resume31650.tsv					
31	23	23	0	478	477	original,reflected	solve_bucket_fresh_fresh_len23_24_offset1.tsv					
33	23	23	0	205	126			len23 24_offset2_limit1	31661	0	900000000	5
37	23	23	0	39	22			len23 24_offset3_limit1	31662	1	900000000	5
41	23	23	0	392	236			len23 24_offset4_limit1	31663	2	900000000	5
43	23	23	0	150	86			len23 24_offset5_limit1	31664	3	900000000	5
45	23	23	0	477	285			len23 24_offset6_limit1	31665	4	900000000	5
47	23	23	0	222	134			len23 24_offset7_limit1	31666	5	900000000	5
49	23	21	-2	6	4			len23 24_offset8_limit1	31667	6	900000000	5
51	23	23	0	80	44			len23 24_offset9_limit1	31668	7	900000000	5
53	23	23	0	496	283			len23 24_offset10_limit1	31669	8	900000000	5
57	23	23	0	255	143			len23 24_offset11_limit1	31670	9	900000000	5
59	23	23	0	143	81			len23 24_offset12_limit1	31671	10	900000000	5
61	23	23	0	117	68			len23 24_offset13_limit1	31672	11	900000000	5
63	23	23	0	68	38			len23 24_offset14_limit1	31673	12	900000000	5
65	23	23	0	383	206			len23 24_offset15_limit1	31674	13	900000000	5
67	23	23	0	124	74			len23 24_offset16_limit1	31675	14	900000000	5
69	23	23	0	153	90			len23 24_offset17_limit1	31676	15	900000000	5
71	23	23	0	123	67			len23 24_offset18_limit1	31677	16	900000000	5
73	23	23	0	161	100			len23 24_offset19_limit1	31678	17	900000000	5
77	23	23	0	115	61			len23 24_offset20_limit1	31679	18	900000000	5
79	23	23	0	811	471			len23 24_offset21_limit1	31680	19	900000000	5
83	23	23	0	174	102			len23 24_offset22_limit1	31681	20	900000000	5
85	23	23	0	191	115			len23 24_offset23_limit1	31682	21	900000000	5
89	23	23	0	214	124			len23 24_offset24_limit1	31683	22	900000000	5
91	23	23	0	340	192			len23 24_offset25_limit1	31684	23	900000000	5
93	23	23	0	469	270			len23 24_offset26_limit1	31685	24	900000000	5
106	24	24	0	1043	622			len23 24_offset27_limit1	31686	25	900000000	5
107	23	23	0	121	70			len23 24_offset28_limit1	31687	26	900000000	5
109	23	23	0	134	77			len23 24_offset29_limit1	31688	27	900000000	5
113	23	23	0	150	91			len23 24_offset30_limit1	31689	28	900000000	5
115	23	23	0	108	60			len23 24_offset31_limit1	31690	29	900000000	5
117	23	23	0	231	132			len23 24_offset32_limit1	31691	30	900000000	5
119	23	23	0	309	198			len23 24_offset33_limit1	31692	31	900000000	5
125	23	23	0	69	35			len23 24_offset34_limit1	31693	32	900000000	5
127	23	23	0	385	220			len23 24_offset35_limit1	31694	33	900000000	5
131	23	23	0	830	490			len23 24_offset36_limit1	31695	34	900000000	5
137	23	23	0	253	153			len23 24_offset37_limit1	31696	35	900000000	5
139	23	23	0	296	171			len23 24_offset38_limit1	31697	36	900000000	5
141	23	23	0	132	71			len23 24_offset39_limit1	31698	37	900000000	5
143	23	23	0	235	136			len23 24_offset40_limit1	31699	38	900000000	5
147	23	23	0	161	89			len23 24_offset41_limit1	31701	39	900000000	5
151	23	23	0	301	175			len23 24_offset42_limit1	31702	40	900000000	5
153	23	23	0	144	79			len23 24_offset43_limit1	31703	41	900000000	5
155	23	23	0	230	143			len23 24_offset44_limit1	31704	42	900000000	5
161	23	23	0	231	135			len23 24_offset45_limit1	31705	43	900000000	5
165	23	23	0	138	77			len23 24_offset46_limit1	31706	44	900000000	5
167	23	23	0	101	56			len23 24_offset47_limit1	31707	45	900000000	5
169	23	23	0	122	74			len23 24_offset48_limit1	31708	46	900000000	5
171	23	23	0	192	113			len23 24_offset49_limit1	31709	47	900000000	5
173	23	23	0	217	125			len23 24_offset50_limit1	31710	48	900000000	5
175	23	23	0	200	114			len23 24_offset51_limit1	31711	49	900000000	5
177	23	23	0	262	155			len23 24_offset52_limit1	31712	50	900000000	5
179	23	23	0	71	40			len23 24_offset53_limit1	31713	51	900000000	5
1001	23	23	0	199	117			p1001_1002_m1780290207_20260722	32766	0	900000000	5
1002	22	22	0	11	6			p1001_1002_m1780290207_20260722	32765	1	900000000	5
