puzzle_id	known_length	best_length	delta	records	unique_solutions	variants	source_files	fresh_run_tag	slurm_job_id	slurm_array_task_id	beam_width	k1_radius
103	75	74	-1	666	666	original,reflected	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
108	75	74	-1	1298	1298	original,reflected	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
114	75	73	-2	395	395	original	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
115	75	75	0	504	504	original,reflected	solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
117	75	74	-1	1119	1119	original,reflected	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
124	75	74	-1	771	771	original,reflected	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
140	75	74	-1	940	940	original,reflected	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
141	75	75	0	429	429	original,reflected	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
147	75	71	-4	873	873	original,reflected	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
161	75	73	-2	714	714	original,reflected	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
164	75	74	-1	534	534	original,reflected	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
170	75	73	-2	1368	1368	original,reflected	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
179	75	75	0	707	707	original,reflected	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
195	75	74	-1	1161	1161	original	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
204	75	74	-1	345	345	original,reflected	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv,solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv	len75_remaining_k1_5_bw100m_prebuilt	33166	completed_0_21	100000000	5
